_time;exchange;trading_pair;strategy;type;order_id;size;price;trade_volume;fee;;Sum Trades;PnL;;PnL Net;Date
2018-06-27T05:43:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;KWSTWZ;4,78;5176,000000;-24749,000000;-99,790000;4,781400;4,781400;3971,200000;-1543,750000;2427,450000;27.06.2018
2018-06-27T08:25:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;1ff60868-4249-4bf7-a273-287cf8754368;4,78;5239,010000;25050,010000;0,000000;-4,781400;0,000000;4272,210000;-1543,750000;2728,460000;27.06.2018
2018-06-27T08:57:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;SF7M67;1,28;5171,000000;-6606,500000;-26,640000;1,277600;1,277600;4272,210000;-1570,390000;2701,820000;27.06.2018
2018-06-27T09:06:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;7ec319d2-1370-4380-bf31-ecc2c48506ae;1,28;5232,920000;6685,400000;0,000000;-1,277600;0,000000;4351,110000;-1570,390000;2780,720000;27.06.2018
2018-06-27T18:30:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;YZFB38;3,82;5243,000000;-20019,000000;-80,720000;3,818300;3,818300;4351,110000;-1651,110000;2700,000000;27.06.2018
2018-06-27T18:59:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;16b9ae41-dc6a-4197-8880-cd41a8ed747c;3,82;5300,010000;20237,280000;0,000000;-3,818300;0,000000;4569,390000;-1651,110000;2918,280000;27.06.2018
2018-06-27T22:14:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;QVR48X;3,87;5247,000000;-20327,000000;-81,960000;3,874000;3,874000;4569,390000;-1733,070000;2836,320000;27.06.2018
2018-06-27T22:51:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;e085ced7-eb6c-46a8-8a21-9e7f24aec768;3,87;5306,720000;20558,170000;0,000000;-3,874000;0,000000;4800,560000;-1733,070000;3067,490000;27.06.2018
2018-06-28T07:39:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;HCD6X8;0,99;5236,000000;-5194,000000;-20,940000;0,992000;0,992000;4800,560000;-1754,010000;3046,550000;28.06.2018
2018-06-28T07:45:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;f6081bec-0517-4e6c-ae47-03a9aba4c9c8;0,99;5291,010000;5248,680000;0,000000;-0,992000;0,000000;4855,240000;-1754,010000;3101,230000;28.06.2018
2018-06-28T15:08:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;3PR9CP;3,97;5216,000000;-20697,000000;-83,460000;3,968000;3,968000;4855,240000;-1837,470000;3017,770000;28.06.2018
2018-06-28T15:10:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;290efb46-7f53-46ef-a6c7-5c95a6d8a2bb;3,97;5271,810000;20918,540000;0,000000;-3,968000;0,000000;5076,780000;-1837,470000;3239,310000;28.06.2018
2018-06-29T00:19:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;G9RB48;2,66;5044,000000;-13429,000000;-54,150000;2,662400;2,662400;5076,780000;-1891,620000;3185,160000;29.06.2018
